AirlineKey;AirlineId;Code;Description
1484;1484;X4;Air Excursions LLC
1485;1485;X9;Omni Air Express
1486;1486;XAA;Aero Union Corp
1487;1487;XAB;Air Polynesia d/b/a DHL Cargo
1488;1488;XAC;Air Express International Airlines
1489;1489;XAE;Amerford Airways Inc.
1490;1490;XAF;Astro-Wing Airlines Inc.
1491;1491;XAG;Ball Brothers Inc.
1492;1492;XAH;Hawaii Pacific Air
1493;1493;XAI;Burlington Northern Inc.
1494;1494;XAJ;Central American International
1495;1495;XAK;Century Airlines Inc.
1496;1496;XAM;Cohlmia Aviation
1497;1497;XAO;Dallas Flight Center
1498;1498;XAQ;Cam Air International Inc.
1499;1499;XAR;Jet Way Inc.
1500;1500;XAS;Klondike Air Inc.
1501;1501;XAT;Michigan Peninsula Airways
1502;1502;XAU;Flight Line Inc.
1503;1503;XAY;Pat Air
1504;1504;XAZ;Purolator Sky Courier Inc.
1505;1505;XBC;Jet East Inc.
1506;1506;XBF;WTC Airlines
1507;1507;XBH;Profit Airlines Inc.
1508;1508;XBI;CF Air Freight
1509;1509;XBJ;International Air Service
1510;1510;XBM;Phh Air Inc.
1511;1511;XBP;Circle Airfreight Corp.
1512;1512;XBQ;Aeronaves De Puerto Rico
1513;1513;XBR;Allstates Air Cargo Inc.
1514;1514;XBT;Pacific Alaska Airlines Inc.
1515;1515;XBV;Nal Inc.
1516;1516;XBX;Icb International Airlines
1517;1517;XBZ;Air Natl Aircraft Sal & Ser
1518;1518;XC;Air Caribbean (1)
1519;1519;XCA;Hawkins And Powers Aviation
1520;1520;XDA;Pacific Air Express Inc.
1521;1521;XDC;Hemisphere Air Charter
1522;1522;XDD;International Parcel Express Inc.
1523;1523;XDE;Air Train Inc.
1524;1524;XDF;Salair Inc.
1525;1525;XDH;Kitty Hawk Air Cargo
1526;1526;XE;ExpressJet Airlines Inc. (1)
1527;1527;XF;Vladivostok Air
1528;1528;XJ;Mesaba Airlines
1529;1529;XK;Aerotal
1530;1530;XL;Lan Ecuador
1531;1531;XP;Casino Express
1532;1532;XPA;Express Air d/b/a Sunrise
1533;1533;XPE;Amira Air GmbH
1534;1534;XPQ;International Cargo Xpress
1535;1535;XV;Presidential Airways Inc.
1536;1536;XY;Munz Northern Airlines Inc.
1537;1537;XYZ;Airpac Inc.
1538;1538;Y2;Globespan Airways Limited d/b/a Flyglobespan
1539;1539;Y4;Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)
1540;1540;Y7;Flyjet Limited d/b/a Silverjet
1541;1541;Y8;Yangtze River Express Airlines Company
1542;1542;YB;Trans Continental Airlines
1543;1543;YBQ;Yellow Bird Air
1544;1544;YM;Royal West Airlines
1545;1545;YR;Grand Canyon Airlines
1546;1546;YV;Mesa Airlines Inc.
1547;1547;YX;Republic Airlines
1548;1548;YX (1);Midwest Airline
1549;1549;Z3;PM Air
1550;1550;Z3 (1);Promech
1551;1551;ZA;Accessair Holdings
1552;1552;ZAQ;Zas Airline Of Egypt
1553;1553;ZB;Monarch Airlines
1554;1554;ZE;Lineas Aereas Azteca
1555;1555;ZFZ;Mcphillips Flying Service
1556;1556;ZIA;Air New Mexico
1557;1557;ZK;Great Lakes Airlines
1558;1558;ZKQ;Zantop International
1559;1559;ZL;Affretair
1560;1560;ZMZ;Winnipesaukee Aviation Inc.
1561;1561;ZN;Key Airlines Inc.
1562;1562;ZO;Florida Express Inc.
1563;1563;ZP;Air St. Thomas
1564;1564;ZS;Hispaniola Airways
1565;1565;ZUQ;Zuliana De Aviacion
1566;1566;ZV;Air Midwest Inc.
1567;1567;ZW;Air Wisconsin Airlines Corp
1568;1568;ZX;Air Georgian
1569;1569;ZX (1);Airbc Ltd.
1570;1570;ZY;Atlantic Gulf Airlines
1571;1571;ZYZ;Skyway Aviation Inc.
